1. ANESTHESIQUES,
1.1 Anesthésiques généraux et oxygène,
1.1.1 Médicaments inhalables,halothane
1.1.1 Médicaments inhalables,isoflurane
1.1.1 Médicaments inhalables,oxygène
1.1.1 Médicaments inhalables,protoxyde dʹazote
1.1.2 Médicaments injectables,kétamine
1.1.2 Médicaments injectables,propofol
1.2 Anesthésiques locaux,bupivacaïne
1.2 Anesthésiques locaux,lidocaïne
1.2 Anesthésiques locaux,lidocaïne + épinéphrine (adrénaline)
1.2 Anesthésiques locaux,Liste complémentaire
1.2 Anesthésiques locaux,éphédrine
1.3 Prémédication anesthésique et sédation pour interventions de courte durée,atropine
1.3 Prémédication anesthésique et sédation pour interventions de courte durée,midazolam
1.3 Prémédication anesthésique et sédation pour interventions de courte durée,morphine
"2. ANALGESIQUES, ANTIPYRETIQUES, ANTI-INFLAMMATOIRES
NON STEROIDIENS (AINS), ANTIGOUTTEUX ET MEDICAMENTS UTILISES POUR LE
TRAITEMENT DE FOND DES AFFECTIONS RHUMATISMALES",
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,acide acétylsalicylique
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,ibuprofène
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,paracétamol
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,acide acétylsalicylique
2.2 Analgésiques opioïdes,codéine*
2.2 Analgésiques opioïdes,morphine
2.3 Antigoutteux,allopurinol
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,chloroquine*
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,azathioprine
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,hydroxychloroquine [c]
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,méthotrexate
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,pénicillamine
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,sulfasalazine
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,chlorphénamine
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,dexaméthasone
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,épinéphrine (adrénaline)
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,hydrocortisone
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,prednisolone
4. ANTIDOTES ET AUTRES SUBSTANCES UTILISEES POUR LE TRAITEMENT DES INTOXICATIONS,
4.1 Non-spécifiques,charbon activé
4.2 Spécifiques,acétylcystéine
4.2 Spécifiques,atropine
4.2 Spécifiques,chlorure de méthylthioninium (bleu de méthylène)
4.2 Spécifiques,hexacyanoferrate (II) de potassium et de fer (bleu de Prusse)
